eps,algo,step,mean,std,n_seeds
005,ippo,10080.0,4856.862055413688,597.4837839725833,3
005,ippo,40142.71356783919,5093.740345909078,311.795859846011,3
005,ippo,70205.42713567839,5055.733376342809,288.81444527326727,3
005,ippo,100268.1407035176,4718.98130051027,699.2653561849835,3
005,ippo,130330.85427135679,5048.421228817521,183.17043325548929,3
005,ippo,160393.56783919598,4718.803949419224,570.8590239343106,3
005,ippo,190456.2814070352,4694.130178688593,566.4723968816922,3
005,ippo,220518.99497487437,4708.934568745001,493.30579131835475,3
005,ippo,250581.70854271358,4522.580034110345,743.0615736892046,3
005,ippo,280644.4221105528,4918.303616300041,142.46380188921339,3
005,ippo,310707.13567839196,4416.641264186211,825.3935459425194,3
005,ippo,340769.84924623114,4686.957881846523,401.7589275919379,3
005,ippo,370832.5628140704,4706.047396953335,345.4588671941771,3
005,ippo,400895.27638190956,4544.320432510514,532.9851941235406,3
005,ippo,430957.98994974873,4384.2529860568675,747.0534578340363,3
005,ippo,461020.703517588,4187.249885640472,1015.2626776658489,3
005,ippo,491083.41708542715,4380.744731376592,735.5281868424137,3
005,ippo,521146.13065326633,4389.938499180852,704.7380767402178,3
005,ippo,551208.8442211056,4621.086378237079,324.6781342678993,3
005,ippo,581271.5577889447,4350.666553084032,726.8452080068255,3
005,ippo,611334.2713567839,4510.3194313603935,462.93301157562786,3
005,ippo,641396.9849246232,4581.768036508987,370.4309852417089,3
005,ippo,671459.6984924623,4628.3251447825705,266.7375886157102,3
005,ippo,701522.4120603015,4420.502085127552,501.8256973738565,3
005,ippo,731585.1256281408,4406.096292342844,541.8432680653005,3
005,ippo,761647.8391959799,4498.801440158805,397.12729134305687,3
005,ippo,791710.5527638191,4007.485978861025,1058.9250175036302,3
005,ippo,821773.2663316583,4251.769008566406,704.3218728538985,3
005,ippo,851835.9798994975,4364.572175526116,556.1660400695155,3
005,ippo,881898.6934673367,4345.864114049745,564.1333763841773,3
005,ippo,911961.407035176,4332.932012321118,592.5846624065883,3
005,ippo,942024.1206030151,4327.672564489873,575.3504585881141,3
005,ippo,972086.8341708543,3984.832977280074,1079.1889885503374,3
005,ippo,1002149.5477386935,4329.767987001406,608.2404599795526,3
005,ippo,1032212.2613065327,3962.984767736132,1057.1794107366784,3
005,ippo,1062274.974874372,4112.970432525878,829.8428885231015,3
005,ippo,1092337.6884422111,4381.30499352576,460.31314999534715,3
005,ippo,1122400.4020100504,4308.907558769307,543.2818156979702,3
005,ippo,1152463.1155778894,4226.797753084617,650.0343900932135,3
005,ippo,1182525.8291457286,4103.887713457707,852.6979539551794,3
005,ippo,1212588.5427135678,4446.7966160840115,351.76692422566754,3
005,ippo,1242651.256281407,4318.93195715886,523.9707083779971,3
005,ippo,1272713.9698492463,4132.732584876234,798.1409541027597,3
005,ippo,1302776.6834170856,4441.855235805088,360.6223914232907,3
005,ippo,1332839.3969849246,4051.9801231623787,902.7317065743149,3
005,ippo,1362902.1105527638,4051.466788261089,884.8625040501885,3
005,ippo,1392964.824120603,4094.2536892198973,850.7843449542632,3
005,ippo,1423027.5376884423,4202.714836956838,642.6795629704408,3
005,ippo,1453090.2512562815,4165.755467857641,704.383531034994,3
005,ippo,1483152.9648241207,4161.532743018818,715.2532629372905,3
005,ippo,1513215.6783919598,4129.08616893319,787.8904969228719,3
005,ippo,1543278.391959799,4053.8779255099344,849.7869753196326,3
005,ippo,1573341.1055276382,4353.54920100624,486.0840950849946,3
005,ippo,1603403.8190954775,4792.839826883091,189.677422493548,3
005,ippo,1633466.5326633167,4142.12004063812,750.4509584193983,3
005,ippo,1663529.246231156,4080.3902136592137,857.7896587734566,3
005,ippo,1693591.959798995,4083.3573544503943,837.1095468921625,3
005,ippo,1723654.6733668342,4106.280113548891,823.8832797476052,3
005,ippo,1753717.3869346734,4339.192102941518,472.2003924229502,3
005,ippo,1783780.1005025127,4012.7867694511283,932.9890972501685,3
005,ippo,1813842.814070352,4043.493142721281,888.6946175436441,3
005,ippo,1843905.5276381911,4437.983120619307,361.91892895082407,3
005,ippo,1873968.2412060301,4395.173324807897,415.84743799019475,3
